bसूक्त१,Unnamed: 1,Unnamed: 2,सूक्त१ ।,sandhi
तव॑पो॒त्रम्,पो॒त्रम् तव॑,तव॑पो॒त्रम्,तव॑पो॒त्रम् पो॒त्रम् तव॑ तव॑पो॒त्रम् ।,"तव॑पो॒त्रम्पो॒त्रन्तव॑तव॑पो॒त्रम्, तव॑पो॒त्रम्पो॒त्रं  तव॑तव॑पो॒त्रम्, तव॑पो॒त्रं  पो॒त्रन्तव॑तव॑पो॒त्रम्, तव॑पो॒त्रं  पो॒त्रं  तव॑तव॑पो॒त्रम्"
पो॒त्रमृ॒त्‍विय॑म्,ऋ॒त्विय॑म् पो॒त्रम्,पो॒त्रमृ॒त्‍विय॑म्,पो॒त्रमृ॒त्‍विय॑म् ऋ॒त्विय॑म् पो॒त्रम् पो॒त्रमृ॒त्‍विय॑म् ।,"पो॒त्रमृ॒त्‍विय॑मृ॒त्विय॑म्पो॒त्रम्पो॒त्रमृ॒त्‍विय॑म्, पो॒त्रमृ॒त्‍विय॑मृ॒त्विय॑म्पो॒त्रं  पो॒त्रमृ॒त्‍विय॑म्, पो॒त्रमृ॒त्‍विय॑मृ॒त्विय॑ं  पो॒त्रम्पो॒त्रमृ॒त्‍विय॑म्, पो॒त्रमृ॒त्‍विय॑मृ॒त्विय॑ं  पो॒त्रं  पो॒त्रमृ॒त्‍विय॑म्"
ऋ॒त्‍वियं॒तव॑,तव॑ ऋ॒त्विय॑म्,ऋ॒त्‍वियं॒तव॑,ऋ॒त्‍वियं॒तव॑ तव॑ ऋ॒त्विय॑म् ऋ॒त्‍वियं॒तव॑ ।,ऋ॒त्‍वियं॒तव॑तव॑ऋ॒त्विय॑मृ॒त्‍वियं॒तव॑
तव॑ने॒ष्ट्रम्,ने॒ष्ट्रम् तव॑,तव॑ने॒ष्ट्रम्,तव॑ने॒ष्ट्रम् ने॒ष्ट्रम् तव॑ तव॑ने॒ष्ट्रम् ।,"तव॑ने॒ष्ट्रन्ने॒ष्ट्रन्तव॑तव॑ने॒ष्ट्रम्, तव॑ने॒ष्ट्रन्ने॒ष्ट्रं  तव॑तव॑ने॒ष्ट्रम्, तव॑ने॒ष्ट्रं  ने॒ष्ट्रन्तव॑तव॑ने॒ष्ट्रम्, तव॑ने॒ष्ट्रं  ने॒ष्ट्रं  तव॑तव॑ने॒ष्ट्रम्"
ने॒ष्ट्रंत्‍वम्,त्वम् ने॒ष्ट्रम्,ने॒ष्ट्रंत्‍वम्,ने॒ष्ट्रंत्‍वम् त्वम् ने॒ष्ट्रम् ने॒ष्ट्रंत्‍वम् ।,"ने॒ष्ट्रंत्‍वन्त्वन्ने॒ष्ट्रन्ने॒ष्ट्रंत्‍वम्, ने॒ष्ट्रंत्‍वन्त्वन्ने॒ष्ट्रं  ने॒ष्ट्रंत्‍वम्, ने॒ष्ट्रंत्‍वन्त्वं  ने॒ष्ट्रन्ने॒ष्ट्रंत्‍वम्, ने॒ष्ट्रंत्‍वन्त्वं  ने॒ष्ट्रं  ने॒ष्ट्रंत्‍वम्, ने॒ष्ट्रंत्‍वं  त्वन्ने॒ष्ट्रन्ने॒ष्ट्रंत्‍वम्, ने॒ष्ट्रंत्‍वं  त्वन्ने॒ष्ट्रं  ने॒ष्ट्रंत्‍वम्, ने॒ष्ट्रंत्‍वं  त्वं  ने॒ष्ट्रन्ने॒ष्ट्रंत्‍वम्, ने॒ष्ट्रंत्‍वं  त्वं  ने॒ष्ट्रं  ने॒ष्ट्रंत्‍वम्"
त्‍वम॒ग्नित्,अ॒ग्नित् त्वम्,त्‍वम॒ग्नित्,त्‍वम॒ग्नित् अ॒ग्नित् त्वम् त्‍वम॒ग्नित् ।,"त्‍वम॒ग्निद॒ग्नित्त्वन्त्‍वम॒ग्नित्, त्‍वम॒ग्निद॒ग्नित्त्वं  त्‍वम॒ग्नित्"
अ॒ग्निदृ॑ताय॒तः,ऋ॒त॒ऽय॒तः अ॒ग्नित्,अ॒ग्निदृ॑ताय॒तः,अ॒ग्निदृ॑ताय॒तः ऋ॒त॒ऽय॒तः अ॒ग्नित् अ॒ग्निदृ॑ताय॒तः ।,"अ॒ग्निदृ॑ताय॒त  ऋ॒त॒ऽय॒तोऽ॒ग्निद॒ग्निदृ॑ताय॒तः, अ॒ग्निदृ॑ताय॒तयृ॒त॒ऽय॒तोऽ॒ग्निद॒ग्निदृ॑ताय॒तः"
ऋ॒त॒य॒तइत्यृ॑त॒bऽय॒तःb॥,,,ऋ॒त॒य॒तइत्यृ॑त॒ऽय॒तः॥ ,ऋ॒त॒य॒तइत्यृ॑त॒ऽय॒तः
तव॑प्रशा॒स्त्रम्,प्र॒ऽशा॒स्त्रम् तव॑,तव॑प्रशा॒स्त्रम्,तव॑प्रशा॒स्त्रम् प्र॒ऽशा॒स्त्रम् तव॑ तव॑प्रशा॒स्त्रम् ।,"तव॑प्रशा॒स्त्रम्प्र॒ऽशा॒स्त्रन्तव॑तव॑प्रशा॒स्त्रम्, तव॑प्रशा॒स्त्रम्प्र॒ऽशा॒स्त्रं  तव॑तव॑प्रशा॒स्त्रम्, तव॑प्रशा॒स्त्रं  प्र॒ऽशा॒स्त्रन्तव॑तव॑प्रशा॒स्त्रम्, तव॑प्रशा॒स्त्रं  प्र॒ऽशा॒स्त्रं  तव॑तव॑प्रशा॒स्त्रम्"
प्र॒शा॒स्त्रंत्‍वम्,त्वम् प्र॒ऽशा॒स्त्रम्,प्र॒शा॒स्त्रंत्‍वम्,प्र॒शा॒स्त्रंत्‍वम् त्वम् प्र॒ऽशा॒स्त्रम् प्र॒शा॒स्त्रंत्‍वम् ।,"प्र॒शा॒स्त्रंत्‍वन्त्वम्प्र॒ऽशा॒स्त्रम्प्र॒शा॒स्त्रंत्‍वम्, प्र॒शा॒स्त्रंत्‍वन्त्वम्प्र॒ऽशा॒स्त्रं  प्र॒शा॒स्त्रंत्‍वम्, प्र॒शा॒स्त्रंत्‍वन्त्वं  प्र॒ऽशा॒स्त्रम्प्र॒शा॒स्त्रंत्‍वम्, प्र॒शा॒स्त्रंत्‍वन्त्वं  प्र॒ऽशा॒स्त्रं  प्र॒शा॒स्त्रंत्‍वम्, प्र॒शा॒स्त्रंत्‍वं  त्वम्प्र॒ऽशा॒स्त्रम्प्र॒शा॒स्त्रंत्‍वम्, प्र॒शा॒स्त्रंत्‍वं  त्वम्प्र॒ऽशा॒स्त्रं  प्र॒शा॒स्त्रंत्‍वम्, प्र॒शा॒स्त्रंत्‍वं  त्वं  प्र॒ऽशा॒स्त्रम्प्र॒शा॒स्त्रंत्‍वम्, प्र॒शा॒स्त्रंत्‍वं  त्वं  प्र॒ऽशा॒स्त्रं  प्र॒शा॒स्त्रंत्‍वम्"
