bसूक्त१,Unnamed: 1,Unnamed: 2,सूक्त१ ।,sandhi
वि॒हव्यो॑ब॒भूथ॑,ब॒भूथ॑ वि॒ऽहव्यः॑,वि॒हव्यो॑ब॒भूथ॑,वि॒हव्यो॑ब॒भूथ॑ ब॒भूथ॑ वि॒ऽहव्यः॑ वि॒हव्यो॑ब॒भूथ॑ ।,वि॒हव्यो॑ब॒भूथ॑ब॒भूथ॑वि॒ऽहव्यः॑वि॒हव्यो॑ब॒भूथ॑
वि॒हव्य॒इति॑वि॒bऽहव्यः॑,,,वि॒हव्य॒इति॑वि॒ऽहव्यः॑ ।,वि॒हव्य॒इति॑वि॒ऽहव्यः॑
ब॒भूथा॒स्मिन्,अ॒स्मिन् ब॒भूथ॑,ब॒भूथा॒स्मिन्,ब॒भूथा॒स्मिन् अ॒स्मिन् ब॒भूथ॑ ब॒भूथा॒स्मिन् ।,ब॒भूथा॒स्मिन्न॒स्मिन्ब॒भूथ॑ब॒भूथा॒स्मिन्
अ॒स्मिञ्च्छू॑र,शू॒र॒ अ॒स्मिन्,अ॒स्मिञ्च्छू॑र,अ॒स्मिञ्च्छू॑र शू॒र॒ अ॒स्मिन् अ॒स्मिञ्च्छू॑र ।,अ॒स्मिञ्च्छू॑रशू॒र॒अ॒स्मिन्न॒स्मिञ्च्छू॑र
शू॒र॒सव॑ने,सव॑ने शू॒र॒,शू॒र॒सव॑ने,शू॒र॒सव॑ने सव॑ने शू॒र॒ शू॒र॒सव॑ने ।,शू॒र॒सव॑नेसव॑नेशू॒र॒शू॒र॒सव॑ने
सव॑नेमादयस्व,मा॒द॒य॒स्व॒ सव॑ने,सव॑नेमादयस्व,सव॑नेमादयस्व मा॒द॒य॒स्व॒ सव॑ने सव॑नेमादयस्व ।,सव॑नेमादयस्वमा॒द॒य॒स्व॒सव॑नेसव॑नेमादयस्व
मा॒द॒य॒स्वेति॑मादयस्वb॥७b॥,,,मा॒द॒य॒स्वेति॑मादयस्व॥७॥ ,मा॒द॒य॒स्वेति॑मादयस्व
नमे॑,मे॒ न,नमे॑,नमे॑ मे॒ न नमे॑ ।,नमे॑मे॒ननमे॑
म॒इन्द्रे॑ण,इन्द्रे॑ण मे॒,म॒इन्द्रे॑ण,म॒इन्द्रे॑ण इन्द्रे॑ण मे॒ म॒इन्द्रे॑ण ।,म॒इन्द्रे॑णेन्द्रे॑णमे॒म॒इन्द्रे॑ण
इन्द्रे॑णस॒ख्यम्,स॒ख्यम् इन्द्रे॑ण,इन्द्रे॑णस॒ख्यम्,इन्द्रे॑णस॒ख्यम् स॒ख्यम् इन्द्रे॑ण इन्द्रे॑णस॒ख्यम् ।,इन्द्रे॑णस॒ख्यं  स॒ख्यमिन्द्रे॑णेन्द्रे॑णस॒ख्यम्
स॒ख्यंवि,वि स॒ख्यम्,स॒ख्यंवि,स॒ख्यंवि वि स॒ख्यम् स॒ख्यंवि ।,स॒ख्यंविविस॒ख्यं  स॒ख्यंवि
वियो॑षत्,यो॒ष॒त् वि,वियो॑षत्,वियो॑षत् यो॒ष॒त् वि वियो॑षत् ।,वियो॑षद्यो॒ष॒द्विवियो॑षत्
यो॒ष॒द॒स्मभ्य॑म्,अ॒स्मभ्य॑म् यो॒ष॒त्,यो॒ष॒द॒स्मभ्य॑म्,यो॒ष॒द॒स्मभ्य॑म् अ॒स्मभ्य॑म् यो॒ष॒त् यो॒ष॒द॒स्मभ्य॑म् ।,"यो॒ष॒द॒स्मभ्य॑म॒स्मभ्य॑ँयो॒ष॒द्यो॒ष॒द॒स्मभ्य॑म्, यो॒ष॒द॒स्मभ्य॑म॒स्मभ्य॑ं  यो॒ष॒द्यो॒ष॒द॒स्मभ्य॑म्"
अ॒स्मभ्य॑मस्य,अ॒स्य॒ अ॒स्मभ्य॑म्,अ॒स्मभ्य॑मस्य,अ॒स्मभ्य॑मस्य अ॒स्य॒ अ॒स्मभ्य॑म् अ॒स्मभ्य॑मस्य ।,अ॒स्मभ्य॑मस्या॒स्य॒अ॒स्मभ्य॑म॒स्मभ्य॑मस्य
अ॒स्य॒दक्षि॑णा,दक्षि॑णा अ॒स्य॒,अ॒स्य॒दक्षि॑णा,अ॒स्य॒दक्षि॑णा दक्षि॑णा अ॒स्य॒ अ॒स्य॒दक्षि॑णा ।,अ॒स्य॒दक्षि॑णादक्षि॑णा॒स्य॒अ॒स्य॒दक्षि॑णा
दक्षि॑णादुहीत,दु॒ही॒त॒ दक्षि॑णा,दक्षि॑णादुहीत,दक्षि॑णादुहीत दु॒ही॒त॒ दक्षि॑णा दक्षि॑णादुहीत ।,दक्षि॑णादुहीतदु॒ही॒त॒दक्षि॑णादक्षि॑णादुहीत
दु॒ही॒तेति॑दुहीतb॥,,,दु॒ही॒तेति॑दुहीत॥ ,दु॒ही॒तेति॑दुहीत
उप॒ज्येष्ठे॑,ज्येष्ठे॑ उप॑,उप॒ज्येष्ठे॑,उप॒ज्येष्ठे॑ ज्येष्ठे॑ उप॑ उप॒ज्येष्ठे॑ ।,उप॒ज्येष्ठे॑ज्येष्ठे॑उप॑उप॒ज्येष्ठे॑
ज्येष्ठे॒वरू॑थे,वरू॑थे ज्येष्ठे॑,ज्येष्ठे॒वरू॑थे,ज्येष्ठे॒वरू॑थे वरू॑थे ज्येष्ठे॑ ज्येष्ठे॒वरू॑थे ।,ज्येष्ठे॒वरू॑थेवरू॑थेज्येष्ठे॑ज्येष्ठे॒वरू॑थे
वरू॑थे॒गभ॑स्तौ,गभ॑स्तौ वरू॑थे,वरू॑थे॒गभ॑स्तौ,वरू॑थे॒गभ॑स्तौ गभ॑स्तौ वरू॑थे वरू॑थे॒गभ॑स्तौ ।,वरू॑थे॒गभ॑स्तौगभ॑स्तौवरू॑थेवरू॑थे॒गभ॑स्तौ
गभ॑स्तौप्रा॒येप्रा॑ये,प्रा॒येऽप्रा॑ये गभ॑स्तौ,गभ॑स्तौप्रा॒येप्रा॑ये,गभ॑स्तौप्रा॒येप्रा॑ये प्रा॒येऽप्रा॑ये गभ॑स्तौ गभ॑स्तौप्रा॒येप्रा॑ये ।,गभ॑स्तौप्रा॒येप्रा॑येप्रा॒येऽप्रा॑येगभ॑स्तौगभ॑स्तौप्रा॒येप्रा॑ये
प्रा॒येप्रा॑येजिगी॒वांसः॑,जि॒गी॒वांसः॑ प्रा॒येऽप्रा॑ये,प्रा॒येप्रा॑येजिगी॒वांसः॑,प्रा॒येप्रा॑येजिगी॒वांसः॑ जि॒गी॒वांसः॑ प्रा॒येऽप्रा॑ये प्रा॒येप्रा॑येजिगी॒वांसः॑ ।,प्रा॒येप्रा॑येजिगी॒वांसः॑जि॒गी॒वांसः॑प्रा॒येऽप्रा॑येप्रा॒येप्रा॑येजिगी॒वांसः॑
प्रा॒येप्रा॑य॒इति॑प्रा॒येbऽप्रा॑ये,,,प्रा॒येप्रा॑य॒इति॑प्रा॒येऽप्रा॑ये ।,प्रा॒येप्रा॑य॒इति॑प्रा॒येऽप्रा॑ये
जि॒गी॒वांस॑स्याम,स्या॒म॒ जि॒गी॒वांसः॑,जि॒गी॒वांस॑स्याम,जि॒गी॒वांस॑स्याम स्या॒म॒ जि॒गी॒वांसः॑ जि॒गी॒वांस॑स्याम ।,जि॒गी॒वांस॑स्यामस्या॒म॒जि॒गी॒वांसः॑जि॒गी॒वांस॑स्याम
स्या॒मेति॑स्यामb॥८b॥,,,स्या॒मेति॑स्याम॥८॥ ,स्या॒मेति॑स्याम
[नू॒नंसा,सा नू॒नम्,[नू॒नंसा,[नू॒नंसा सा नू॒नम् [नू॒नंसा ।,"नू॒नंसासानू॒नन्नू॒नंसा, नू॒नंसासानू॒नं  नू॒नंसा"
साते॑,ते॒ सा,साते॑,साते॑ ते॒ सा साते॑ ।,साते॑ते॒सासाते॑
ते॒प्रति॑,प्रति॑ ते॒,ते॒प्रति॑,ते॒प्रति॑ प्रति॑ ते॒ ते॒प्रति॑ ।,ते॒प्रति॑प्रति॑ते॒ते॒प्रति॑
प्रति॒वर॑म्,वर॑म् प्रति॑,प्रति॒वर॑म्,प्रति॒वर॑म् वर॑म् प्रति॑ प्रति॒वर॑म् ।,"प्रति॒वर॑ँवर॑म्प्रति॑प्रति॒वर॑म्, प्रति॒वर॑ँवर॑ं  प्रति॑प्रति॒वर॑म्, प्रति॒वर॑ं  वर॑म्प्रति॑प्रति॒वर॑म्, प्रति॒वर॑ं  वर॑ं  प्रति॑प्रति॒वर॑म्"
वरं॑जरि॒त्रे,ज॒रि॒त्रे वर॑म्,वरं॑जरि॒त्रे,वरं॑जरि॒त्रे ज॒रि॒त्रे वर॑म् वरं॑जरि॒त्रे ।,"वरं॑जरि॒त्रेज॒रि॒त्रेवर॑ँवरं॑जरि॒त्रे, वरं॑जरि॒त्रेज॒रि॒त्रेवर॑ं  वरं॑जरि॒त्रे"
ज॒रि॒त्रेदु॑ही॒यत्,दु॒ही॒यत् ज॒रि॒त्रे,ज॒रि॒त्रेदु॑ही॒यत्,ज॒रि॒त्रेदु॑ही॒यत् दु॒ही॒यत् ज॒रि॒त्रे ज॒रि॒त्रेदु॑ही॒यत् ।,ज॒रि॒त्रेदु॑ही॒यद्दु॒ही॒यज्ज॒रि॒त्रेज॒रि॒त्रेदु॑ही॒यत्
दु॒ही॒यदि॑न्द्र,इ॒न्द्र॒ दु॒ही॒यत्,दु॒ही॒यदि॑न्द्र,दु॒ही॒यदि॑न्द्र इ॒न्द्र॒ दु॒ही॒यत् दु॒ही॒यदि॑न्द्र ।,दु॒ही॒यदि॑न्द्रे॒न्द्र॒दु॒ही॒यद्दु॒ही॒यदि॑न्द्र
इ॒न्द्र॒दक्षि॑णा,दक्षि॑णा इ॒न्द्र॒,इ॒न्द्र॒दक्षि॑णा,इ॒न्द्र॒दक्षि॑णा दक्षि॑णा इ॒न्द्र॒ इ॒न्द्र॒दक्षि॑णा ।,इ॒न्द्र॒दक्षि॑णादक्षि॑णे॒न्द्र॒इ॒न्द्र॒दक्षि॑णा
दक्षि॑णाम॒घोनी॑,म॒घोनी॑ दक्षि॑णा,दक्षि॑णाम॒घोनी॑,दक्षि॑णाम॒घोनी॑ म॒घोनी॑ दक्षि॑णा दक्षि॑णाम॒घोनी॑ ।,दक्षि॑णाम॒घोनी॑म॒घोनी॑दक्षि॑णादक्षि॑णाम॒घोनी॑
म॒घोनीति॑म॒घोनी॑b॥,,,म॒घोनीति॑म॒घोनी॑॥ ,म॒घोनीति॑म॒घोनी॑
शिक्षा॑स्तो॒तृभ्यः॑,स्तो॒तृऽभ्यः॑ शिक्ष॑,शिक्षा॑स्तो॒तृभ्यः॑,शिक्षा॑स्तो॒तृभ्यः॑ स्तो॒तृऽभ्यः॑ शिक्ष॑ शिक्षा॑स्तो॒तृभ्यः॑ ।,शिक्षा॑स्तो॒तृभ्यः॑स्तो॒तृऽभ्यः॑शिक्ष॑शिक्षा॑स्तो॒तृभ्यः॑
स्तो॒तृभ्यो॒मा,मा स्तो॒तृऽभ्यः॑,स्तो॒तृभ्यो॒मा,स्तो॒तृभ्यो॒मा मा स्तो॒तृऽभ्यः॑ स्तो॒तृभ्यो॒मा ।,स्तो॒तृभ्यो॒मामास्तो॒तृऽभ्यः॑स्तो॒तृभ्यो॒मा
स्तो॒तृभ्य॒इति॑स्तो॒तृbऽभ्यः॑,,,स्तो॒तृभ्य॒इति॑स्तो॒तृऽभ्यः॑ ।,स्तो॒तृभ्य॒इति॑स्तो॒तृऽभ्यः॑
माति॑,अति॑ मा,माति॑,माति॑ अति॑ मा माति॑ ।,माति॑अति॑मामाति॑
अति॑धक्,ध॒क् अति॑,अति॑धक्,अति॑धक् ध॒क् अति॑ अति॑धक् ।,अति॑धग्ध॒गति॑अति॑धक्
ध॒ग्भगः॑,भगः॑ ध॒क्,ध॒ग्भगः॑,ध॒ग्भगः॑ भगः॑ ध॒क् ध॒ग्भगः॑ ।,ध॒ग्भगः॑भगः॑ध॒ग्ध॒ग्भगः॑
भगो॑नः,नः॒ भगः॑,भगो॑नः,भगो॑नः नः॒ भगः॑ भगो॑नः ।,भगो॑नो नः॒भगः॑भगो॑नः
नो॒बृ॒हत्,बृ॒हत् नः॒,नो॒बृ॒हत्,नो॒बृ॒हत् बृ॒हत् नः॒ नो॒बृ॒हत् ।,"नो॒बृ॒हद्बृ॒हद्नः॒नो॒बृ॒हत्, नो॒बृ॒हद्बृ॒हन्नः॒नो॒बृ॒हत्"
बृ॒हद्व॑देम,व॒दे॒म॒ बृ॒हत्,बृ॒हद्व॑देम,बृ॒हद्व॑देम व॒दे॒म॒ बृ॒हत् बृ॒हद्व॑देम ।,बृ॒हद्व॑देमव॒दे॒म॒बृ॒हद्बृ॒हद्व॑देम
व॒दे॒म॒वि॒दथे॑,वि॒दथे॑ व॒दे॒म॒,व॒दे॒म॒वि॒दथे॑,व॒दे॒म॒वि॒दथे॑ वि॒दथे॑ व॒दे॒म॒ व॒दे॒म॒वि॒दथे॑ ।,व॒दे॒म॒वि॒दथे॑वि॒दथे॑व॒दे॒म॒व॒दे॒म॒वि॒दथे॑
वि॒दथे॑सु॒वीराः॑,सु॒ऽवीराः॑ वि॒दथे॑,वि॒दथे॑सु॒वीराः॑,वि॒दथे॑सु॒वीराः॑ सु॒ऽवीराः॑ वि॒दथे॑ वि॒दथे॑सु॒वीराः॑ ।,वि॒दथे॑सु॒वीराः॑सु॒ऽवीराः॑वि॒दथे॑वि॒दथे॑सु॒वीराः॑
सु॒वीरा॒इति॑सु॒bऽवीराः॑],,,सु॒वीरा॒इति॑सु॒ऽवीराः॑] ।,सु॒वीरा॒इति॑सु॒ऽवीराः॑
नू॒नंसाते॒प्रति॒वरं॑जरि॒त्रेदु॑ही॒यदि॑न्द्र॒दक्षि॑णाम॒घोनी॑b॥,,,नू॒नंसाते॒प्रति॒वरं॑जरि॒त्रेदु॑ही॒यदि॑न्द्र॒दक्षि॑णाम॒घोनी॑॥ ,नू॒नंसाते॒प्रति॒वरं॑जरि॒त्रेदु॑ही॒यदि॑न्द्र॒दक्षि॑णाम॒घोनी॑
शिक्षा॑स्तो॒तृभ्यो॒माति॑ध॒ग्भगो॑नोबृ॒हद्व॑देमवि॒दथे॑सु॒वीराः॑b॥९b॥[२२],,,शिक्षा॑स्तो॒तृभ्यो॒माति॑ध॒ग्भगो॑नोबृ॒हद्व॑देमवि॒दथे॑सु॒वीराः॑॥९॥[२२] ।,शिक्षा॑स्तो॒तृभ्यो॒माति॑ध॒ग्भगो॑नोबृ॒हद्व॑देमवि॒दथे॑सु॒वीराः॑
bसूक्त१९,,,सूक्त१९ ।,सूक्त
अपा॑य्य॒स्य,अ॒स्य अपा॑यि,अपा॑य्य॒स्य,अपा॑य्य॒स्य अ॒स्य अपा॑यि अपा॑य्य॒स्य ।,अपा॑य्य॒स्या॒स्यापा॑य्यपा॑य्य॒स्य
अ॒स्यान्ध॑सः,अन्ध॑सः अ॒स्य,अ॒स्यान्ध॑सः,अ॒स्यान्ध॑सः अन्ध॑सः अ॒स्य अ॒स्यान्ध॑सः ।,अ॒स्यान्ध॑सोऽन्ध॑सोऽ॒स्या॒स्यान्ध॑सः
अन्ध॑सो॒मदा॑य,मदा॑य अन्ध॑सः,अन्ध॑सो॒मदा॑य,अन्ध॑सो॒मदा॑य मदा॑य अन्ध॑सः अन्ध॑सो॒मदा॑य ।,अन्ध॑सो॒मदा॑यमदा॑यान्ध॑सोऽन्ध॑सो॒मदा॑य
मदा॑य॒मनी॑षिणः,मनी॑षिणः मदा॑य,मदा॑य॒मनी॑षिणः,मदा॑य॒मनी॑षिणः मनी॑षिणः मदा॑य मदा॑य॒मनी॑षिणः ।,मदा॑य॒मनी॑षिणो मनी॑षिणो मदा॑यमदा॑य॒मनी॑षिणः
मनी॑षिणस्सुवा॒नस्य॑,सु॒वा॒नस्य॑ मनी॑षिणः,मनी॑षिणस्सुवा॒नस्य॑,मनी॑षिणस्सुवा॒नस्य॑ सु॒वा॒नस्य॑ मनी॑षिणः मनी॑षिणस्सुवा॒नस्य॑ ।,मनी॑षिणस्सुवा॒नस्य॑सु॒वा॒नस्य॑मनी॑षिणो मनी॑षिणस्सुवा॒नस्य॑
सु॒वा॒नस्य॒प्रय॑सः,प्रय॑सः सु॒वा॒नस्य॑,सु॒वा॒नस्य॒प्रय॑सः,सु॒वा॒नस्य॒प्रय॑सः प्रय॑सः सु॒वा॒नस्य॑ सु॒वा॒नस्य॒प्रय॑सः ।,"सु॒वा॒नस्य॒प्रय॑सः  प्रय॑सस्सु॒वा॒नस्य॑सु॒वा॒नस्य॒प्रय॑सः, सु॒वा॒नस्य॒प्रय॑सः  प्रय॑सः  सु॒वा॒नस्य॑सु॒वा॒नस्य॒प्रय॑सः"
प्रय॑स॒इति॒प्रय॑सःb॥,,,प्रय॑स॒इति॒प्रय॑सः॥ ,प्रय॑स॒इति॒प्रय॑सः
यस्मि॒न्निन्द्रः॑,इन्द्रः॑ यस्मि॑न्,यस्मि॒न्निन्द्रः॑,यस्मि॒न्निन्द्रः॑ इन्द्रः॑ यस्मि॑न् यस्मि॒न्निन्द्रः॑ ।,यस्मि॒न्निन्द्रः॑इन्द्रः॑यस्मि॑न्यस्मि॒न्निन्द्रः॑
इन्द्रः॑प्र॒दिवि॑,प्र॒ऽदिवि॑ इन्द्रः॑,इन्द्रः॑प्र॒दिवि॑,इन्द्रः॑प्र॒दिवि॑ प्र॒ऽदिवि॑ इन्द्रः॑ इन्द्रः॑प्र॒दिवि॑ ।,इन्द्रः॑प्र॒दिवि॑प्र॒ऽदिवि॑इन्द्रः॑इन्द्रः॑प्र॒दिवि॑
प्र॒दिवि॑वावृधा॒नः,व॒वृ॒धा॒नः प्र॒ऽदिवि॑,प्र॒दिवि॑वावृधा॒नः,प्र॒दिवि॑वावृधा॒नः व॒वृ॒धा॒नः प्र॒ऽदिवि॑ प्र॒दिवि॑वावृधा॒नः ।,प्र॒दिवि॑वावृधा॒नो व॒वृ॒धा॒नः  प्र॒ऽदिवि॑प्र॒दिवि॑वावृधा॒नः
प्र॒दिवीति॑प्र॒bऽदिवि॑,,,प्र॒दिवीति॑प्र॒ऽदिवि॑ ।,प्र॒दिवीति॑प्र॒ऽदिवि॑
वा॒वृ॒धा॒नओकः॑,ओकः॑ व॒वृ॒धा॒नः,वा॒वृ॒धा॒नओकः॑,वा॒वृ॒धा॒नओकः॑ ओकः॑ व॒वृ॒धा॒नः वा॒वृ॒धा॒नओकः॑ ।,वा॒वृ॒धा॒नओकः॑ओकः॑व॒वृ॒धा॒नो वा॒वृ॒धा॒नओकः॑
bव॒वृ॒धा॒नइति॑व॒वृ॒धा॒नः,,,व॒वृ॒धा॒नइति॑व॒वृ॒धा॒नः ।,व॒वृ॒धा॒नइति॑व॒वृ॒धा॒नः
ओको॑द॒धे,द॒धे ओकः॑,ओको॑द॒धे,ओको॑द॒धे द॒धे ओकः॑ ओको॑द॒धे ।,"ओको॑द॒धेद॒धयोकः॑ओको॑द॒धे, ओको॑द॒धेद॒ध  ओकः॑ओको॑द॒धे"
द॒धेब्र॑ह्म॒ण्यन्तः॑,ब्र॒ह्म॒ण्यन्तः॑ द॒धे,द॒धेब्र॑ह्म॒ण्यन्तः॑,द॒धेब्र॑ह्म॒ण्यन्तः॑ ब्र॒ह्म॒ण्यन्तः॑ द॒धे द॒धेब्र॑ह्म॒ण्यन्तः॑ ।,द॒धेब्र॑ह्म॒ण्यन्तः॑ब्र॒ह्म॒ण्यन्तः॑द॒धेद॒धेब्र॑ह्म॒ण्यन्तः॑
ब्र॒ह्म॒ण्यन्त॑श्च,च॒ ब्र॒ह्म॒ण्यन्तः॑,ब्र॒ह्म॒ण्यन्त॑श्च,ब्र॒ह्म॒ण्यन्त॑श्च च॒ ब्र॒ह्म॒ण्यन्तः॑ ब्र॒ह्म॒ण्यन्त॑श्च ।,ब्र॒ह्म॒ण्यन्त॑श्चच॒ब्र॒ह्म॒ण्यन्तः॑ब्र॒ह्म॒ण्यन्त॑श्च
च॒नरः॑,नरः॑ च॒,च॒नरः॑,च॒नरः॑ नरः॑ च॒ च॒नरः॑ ।,च॒नरः॑नरः॑च॒च॒नरः॑
नर॒इति॒नरः॑b॥१b॥,,,नर॒इति॒नरः॑॥१॥ ,नर॒इति॒नरः॑
अ॒स्यम॑न्दा॒नः,म॒न्दा॒नः अ॒स्य,अ॒स्यम॑न्दा॒नः,अ॒स्यम॑न्दा॒नः म॒न्दा॒नः अ॒स्य अ॒स्यम॑न्दा॒नः ।,अ॒स्यम॑न्दा॒नो म॒न्दा॒नोऽ॒स्या॒स्यम॑न्दा॒नः
म॒न्दा॒नोमध्वः॑,मध्वः॑ म॒न्दा॒नः,म॒न्दा॒नोमध्वः॑,म॒न्दा॒नोमध्वः॑ मध्वः॑ म॒न्दा॒नः म॒न्दा॒नोमध्वः॑ ।,म॒न्दा॒नोमध्वः॑मध्वः॑म॒न्दा॒नो म॒न्दा॒नोमध्वः॑
मध्वो॒वज्र॑हस्तः,वज्र॑ऽहस्तः मध्वः॑,मध्वो॒वज्र॑हस्तः,मध्वो॒वज्र॑हस्तः वज्र॑ऽहस्तः मध्वः॑ मध्वो॒वज्र॑हस्तः ।,मध्वो॒वज्र॑हस्तो वज्र॑ऽहस्तो मध्वः॑मध्वो॒वज्र॑हस्तः
वज्र॑ह॒स्तोहि॑म्,अहि॑म् वज्र॑ऽहस्तः,वज्र॑ह॒स्तोहि॑म्,वज्र॑ह॒स्तोहि॑म् अहि॑म् वज्र॑ऽहस्तः वज्र॑ह॒स्तोहि॑म् ।,"वज्र॑ह॒स्तोहि॑महि॑ँवज्र॑ऽहस्तो वज्र॑ह॒स्तोहि॑म्, वज्र॑ह॒स्तोहि॑महि॑ं  वज्र॑ऽहस्तो वज्र॑ह॒स्तोहि॑म्"
वज्र॑हस्त॒इति॒वज्र॑bऽहस्तः,,,वज्र॑हस्त॒इति॒वज्र॑ऽहस्तः ।,वज्र॑हस्त॒इति॒वज्र॑ऽहस्तः
अहि॒मिन्द्रः॑,इन्द्रः॑ अहि॑म्,अहि॒मिन्द्रः॑,अहि॒मिन्द्रः॑ इन्द्रः॑ अहि॑म् अहि॒मिन्द्रः॑ ।,अहि॒मिन्द्रः॑इन्द्रः॑अहि॑महि॒मिन्द्रः॑
इन्द्रो॑अर्णो॒वृत॑म्,अ॒र्णः॒ऽवृत॑म् इन्द्रः॑,इन्द्रो॑अर्णो॒वृत॑म्,इन्द्रो॑अर्णो॒वृत॑म् अ॒र्णः॒ऽवृत॑म् इन्द्रः॑ इन्द्रो॑अर्णो॒वृत॑म् ।,इन्द्रो॑अर्णो॒वृत॑म॒र्णः॒ऽवृत॑मिन्द्रः॑इन्द्रो॑अर्णो॒वृत॑म्
अ॒र्णो॒वृतं॒वि,वि अ॒र्णः॒ऽवृत॑म्,अ॒र्णो॒वृतं॒वि,अ॒र्णो॒वृतं॒वि वि अ॒र्णः॒ऽवृत॑म् अ॒र्णो॒वृतं॒वि ।,अ॒र्णो॒वृतं॒विव्य॒र्णः॒ऽवृत॑म॒र्णो॒वृतं॒वि
अ॒र्णो॒वृत॒मित्य॑र्णः॒bऽवृत॑म्,,,अ॒र्णो॒वृत॒मित्य॑र्णः॒ऽवृत॑म् ।,अ॒र्णो॒वृत॒मित्य॑र्णः॒ऽवृत॑म्
विवृ॑श्चत्,वृ॒श्च॒त् वि,विवृ॑श्चत्,विवृ॑श्चत् वृ॒श्च॒त् वि विवृ॑श्चत् ।,विवृ॑श्चद्वृ॒श्च॒द्विविवृ॑श्चत्
वृ॒श्च॒दिति॑वृश्चत्b॥,,,वृ॒श्च॒दिति॑वृश्चत्॥ ,वृ॒श्च॒दिति॑वृश्चत्
प्रयत्,यत् प्र,प्रयत्,प्रयत् यत् प्र प्रयत् ।,प्रयद्यत्प्रप्रयत्
यद्वयः॑,वयः॑ यत्,यद्वयः॑,यद्वयः॑ वयः॑ यत् यद्वयः॑ ।,यद्वयः॑वयः॑यद्यद्वयः॑
वयो॒न,न वयः॑,वयो॒न,वयो॒न न वयः॑ वयो॒न ।,वयो॒ननवयः॑वयो॒न
नस्वस॑राणि,स्वस॑राणि न,नस्वस॑राणि,नस्वस॑राणि स्वस॑राणि न नस्वस॑राणि ।,नस्वस॑राणिस्वस॑राणिननस्वस॑राणि
स्वस॑रा॒ण्यच्छ॑,अच्छ॑ स्वस॑राणि,स्वस॑रा॒ण्यच्छ॑,स्वस॑रा॒ण्यच्छ॑ अच्छ॑ स्वस॑राणि स्वस॑रा॒ण्यच्छ॑ ।,स्वस॑रा॒ण्यच्छ॑अच्छ॑स्वस॑राणिस्वस॑रा॒ण्यच्छ॑
अच्छा॒प्रयां॑सि,प्रयां॑सि अच्छ॑,अच्छा॒प्रयां॑सि,अच्छा॒प्रयां॑सि प्रयां॑सि अच्छ॑ अच्छा॒प्रयां॑सि ।,अच्छा॒प्रयां॑सिप्रयां॑स्यच्छ॑अच्छा॒प्रयां॑सि
प्रयां॑सिच,च॒ प्रयां॑सि,प्रयां॑सिच,प्रयां॑सिच च॒ प्रयां॑सि प्रयां॑सिच ।,प्रयां॑सिचच॒प्रयां॑सिप्रयां॑सिच
च॒न॒दीना॑म्,न॒दीना॑म् च॒,च॒न॒दीना॑म्,च॒न॒दीना॑म् न॒दीना॑म् च॒ च॒न॒दीना॑म् ।,"च॒न॒दीना॑न्न॒दीना॑ञ्च॒च॒न॒दीना॑म्, च॒न॒दीना॑न्न॒दीना॑ं  च॒च॒न॒दीना॑म्, च॒न॒दीना॑ं  न॒दीना॑ञ्च॒च॒न॒दीना॑म्, च॒न॒दीना॑ं  न॒दीना॑ं  च॒च॒न॒दीना॑म्"
न॒दीनां॒चक्र॑मन्त,चक्र॑मन्त न॒दीना॑म्,न॒दीनां॒चक्र॑मन्त,न॒दीनां॒चक्र॑मन्त चक्र॑मन्त न॒दीना॑म् न॒दीनां॒चक्र॑मन्त ।,"न॒दीनां॒चक्र॑मन्तचक्र॑मन्तन॒दीना॑न्न॒दीनां॒चक्र॑मन्त, न॒दीनां॒चक्र॑मन्तचक्र॑मन्तन॒दीना॑ं  न॒दीनां॒चक्र॑मन्त"
चक्र॑म॒न्तेति॒चक्र॑मन्तb॥२b॥,,,चक्र॑म॒न्तेति॒चक्र॑मन्त॥२॥ ,चक्र॑म॒न्तेति॒चक्र॑मन्त
समाहि॑नः,माहि॑नः सः,समाहि॑नः,समाहि॑नः माहि॑नः सः समाहि॑नः ।,"समाहि॑नो माहि॑नस्सस्समाहि॑नः, समाहि॑नो माहि॑नस्सः  समाहि॑नः, समाहि॑नो माहि॑नः  सस्समाहि॑नः, समाहि॑नो माहि॑नः  सः  समाहि॑नः"
माहि॑न॒इन्द्रः॑,इन्द्रः॑ माहि॑नः,माहि॑न॒इन्द्रः॑,माहि॑न॒इन्द्रः॑ इन्द्रः॑ माहि॑नः माहि॑न॒इन्द्रः॑ ।,माहि॑न॒इन्द्रः॑इन्द्रः॑माहि॑नो माहि॑न॒इन्द्रः॑
इन्द्रो॒अर्णः॑,अर्णः॑ इन्द्रः॑,इन्द्रो॒अर्णः॑,इन्द्रो॒अर्णः॑ अर्णः॑ इन्द्रः॑ इन्द्रो॒अर्णः॑ ।,इन्द्रो॒अर्णः॑अर्णः॑इन्द्रः॑इन्द्रो॒अर्णः॑
अर्णो॑अ॒पाम्,अ॒पाम् अर्णः॑,अर्णो॑अ॒पाम्,अर्णो॑अ॒पाम् अ॒पाम् अर्णः॑ अर्णो॑अ॒पाम् ।,अर्णो॑अ॒पाम॒पामर्णः॑अर्णो॑अ॒पाम्
अ॒पांप्र,प्र अ॒पाम्,अ॒पांप्र,अ॒पांप्र प्र अ॒पाम् अ॒पांप्र ।,अ॒पांप्रप्रा॒पाम॒पांप्र
